------------------------------------------------------------------
          COSMO v0.8.5 - A Quadratic Objective Conic Solver
                         Michael Garstka
                University of Oxford, 2017 - 2022
------------------------------------------------------------------

Problem:  x ∈ R^{2868},
          constraints: A ∈ R^{5531x2868} (14910 nnz),
          matrix size to factor: 8399x8399,
          Floating-point precision: Float64
Sets:     ZeroSet of dim: 2903
          DensePsdConeTriangle of dim: 2628 (72x72)
Settings: ϵ_abs = 1.0e-05, ϵ_rel = 1.0e-05,
          ϵ_prim_inf = 1.0e-04, ϵ_dual_inf = 1.0e-04,
          ρ = 0.1, σ = 1e-06, α = 1.6,
          max_iter = 1000000,
          scaling iter = 10 (on),
          check termination every 25 iter,
          check infeasibility every 40 iter,
          KKT system solver: QDLDL
Acc:      Anderson Type2{QRDecomp},
          Memory size = 15, RestartedMemory,	
          Safeguarded: true, tol: 2.0
Setup Time: 858.53ms

Iter:	Objective:	Primal Res:	Dual Res:	Rho:
5850	 2.0532e+02	1.1141e+03	1.1680e-02	2.2861e-06
5875	 2.0530e+02	1.1142e+03	1.1666e-02	2.2861e-06
5900	 2.0529e+02	1.1140e+03	1.1717e-02	2.2861e-06
5925	 2.0515e+02	1.1130e+03	1.1826e-02	2.2861e-06
5950	 2.0472e+02	1.1099e+03	1.2870e-02	2.2861e-06
5975	 2.0450e+02	1.1079e+03	1.2956e-02	2.2861e-06
6000	 2.0393e+02	1.1044e+03	1.3836e-02	2.2861e-06
6025	 2.0389e+02	1.1041e+03	1.3905e-02	2.2861e-06
6050	 2.0387e+02	1.1037e+03	1.3988e-02	2.2861e-06
6075	 2.0354e+02	1.1013e+03	1.4619e-02	2.2861e-06
6100	 2.0310e+02	1.0978e+03	1.5323e-02	2.2861e-06
6125	 2.0302e+02	1.0975e+03	1.5341e-02	2.2861e-06
6150	 2.0250e+02	1.0932e+03	1.6250e-02	2.2861e-06
6175	 2.0223e+02	1.0913e+03	1.6629e-02	2.2861e-06
6200	 2.0220e+02	1.0907e+03	1.6834e-02	2.2861e-06
6225	 2.0214e+02	1.0903e+03	1.6878e-02	2.2861e-06
6250	 2.0194e+02	1.0883e+03	1.7208e-02	2.2861e-06
6275	 2.0173e+02	1.0869e+03	1.7481e-02	2.2861e-06
6300	 2.0132e+02	1.0835e+03	1.8087e-02	2.2861e-06
6325	 2.0109e+02	1.0816e+03	1.8216e-02	2.2861e-06
6350	 2.0079e+02	1.0790e+03	1.8600e-02	2.2861e-06
6375	 2.0060e+02	1.0774e+03	1.8945e-02	2.2861e-06
6400	 2.0028e+02	1.0744e+03	1.9191e-02	2.2861e-06
6425	 2.0012e+02	1.0728e+03	1.9527e-02	2.2861e-06
6450	 1.9979e+02	1.0703e+03	2.0089e-02	2.2861e-06
6475	 1.9932e+02	1.0654e+03	2.0688e-02	2.2861e-06
6500	 1.9910e+02	1.0637e+03	2.1021e-02	2.2861e-06
6525	 1.9888e+02	1.0618e+03	2.1178e-02	2.2861e-06
6550	 1.9864e+02	1.0596e+03	2.1595e-02	2.2861e-06
6575	 1.9799e+02	1.0522e+03	2.2141e-02	2.2861e-06
6600	 1.9732e+02	1.0468e+03	2.2951e-02	2.2861e-06
6625	 1.9738e+02	1.0473e+03	2.3069e-02	2.2861e-06
6650	 1.9720e+02	1.0453e+03	2.3249e-02	2.2861e-06
6675	 1.9693e+02	1.0428e+03	2.3684e-02	2.2861e-06
6700	 1.9692e+02	1.0424e+03	2.3691e-02	2.2861e-06
6725	 1.9688e+02	1.0422e+03	2.3779e-02	2.2861e-06
6750	 1.9679e+02	1.0413e+03	2.3683e-02	2.2861e-06
6775	 1.9635e+02	1.0364e+03	2.3960e-02	2.2861e-06
6800	 1.9604e+02	1.0338e+03	2.4488e-02	2.2861e-06
6825	 1.9602e+02	1.0334e+03	2.4257e-02	2.2861e-06
6850	 1.9578e+02	1.0314e+03	2.4291e-02	2.2861e-06
